"","subject","presentation_order","rating_version","context_no","version","rating"
"1",1,1,"versionB",13,"fairytale",4
"2",1,2,"versionB",30,"unmarked",2
"3",1,3,"versionB",28,"unmarked",4
"4",1,4,"versionB",39,"fairytale",5
"5",1,5,"versionB",36,"unmarked",2
"6",1,6,"versionB",42,"unmarked",3
"7",1,7,"versionB",29,"fairytale",5
"8",1,8,"versionB",34,"unmarked",3
"9",1,9,"versionB",10,"unmarked",3
"10",1,10,"versionB",14,"unmarked",4
"11",1,11,"versionB",20,"unmarked",3
"12",1,12,"versionB",31,"fairytale",5
"13",1,13,"versionB",32,"unmarked",2
"14",1,14,"versionB",16,"unmarked",2
"15",1,15,"versionB",8,"unmarked",2
"16",1,16,"versionB",45,"fairytale",5
"17",1,17,"versionB",12,"unmarked",3
"18",1,18,"versionB",37,"fairytale",5
"19",1,19,"versionB",27,"fairytale",5
"20",1,20,"versionB",47,"fairytale",5
"21",1,21,"versionB",7,"fairytale",5
"22",1,22,"versionB",49,"fairytale",5
"23",1,23,"versionB",3,"fairytale",5
"24",1,24,"versionB",11,"fairytale",5
"25",1,25,"versionB",48,"unmarked",3
"26",1,26,"versionB",21,"fairytale",5
"27",1,27,"versionB",43,"fairytale",5
"28",1,28,"versionB",26,"unmarked",3
"29",1,29,"versionB",9,"fairytale",5
"30",1,30,"versionB",24,"unmarked",1
"31",1,31,"versionB",25,"fairytale",5
"32",1,32,"versionB",35,"fairytale",5
"33",1,33,"versionB",17,"fairytale",4
"34",1,34,"versionB",46,"unmarked",2
"35",1,35,"versionB",22,"unmarked",2
"36",1,36,"versionB",41,"fairytale",5
"37",1,37,"versionB",23,"fairytale",5
"38",1,38,"versionB",50,"unmarked",2
"39",1,39,"versionB",5,"fairytale",5
"40",1,40,"versionB",44,"unmarked",2
"41",1,41,"versionB",33,"fairytale",4
"42",1,42,"versionB",18,"unmarked",1
"43",1,43,"versionB",1,"fairytale",5
"44",1,44,"versionB",38,"unmarked",2
"45",1,45,"versionB",4,"unmarked",2
"46",1,46,"versionB",2,"unmarked",2
"47",1,47,"versionB",6,"unmarked",2
"48",1,48,"versionB",40,"unmarked",3
"49",1,49,"versionB",15,"fairytale",4
"50",1,50,"versionB",19,"fairytale",3
"51",2,1,"versionB",14,"unmarked",2
"52",2,2,"versionB",25,"fairytale",5
"53",2,3,"versionB",28,"unmarked",2
"54",2,4,"versionB",10,"unmarked",1
"55",2,5,"versionB",32,"unmarked",3
"56",2,6,"versionB",40,"unmarked",4
"57",2,7,"versionB",16,"unmarked",1
"58",2,8,"versionB",19,"fairytale",4
"59",2,9,"versionB",21,"fairytale",5
"60",2,10,"versionB",8,"unmarked",1
"61",2,11,"versionB",50,"unmarked",4
"62",2,12,"versionB",46,"unmarked",1
"63",2,13,"versionB",37,"fairytale",4
"64",2,14,"versionB",15,"fairytale",5
"65",2,15,"versionB",9,"fairytale",4
"66",2,16,"versionB",5,"fairytale",5
"67",2,17,"versionB",20,"unmarked",3
"68",2,18,"versionB",38,"unmarked",1
"69",2,19,"versionB",36,"unmarked",1
"70",2,20,"versionB",41,"fairytale",5
"71",2,21,"versionB",22,"unmarked",1
"72",2,22,"versionB",34,"unmarked",4
"73",2,23,"versionB",6,"unmarked",2
"74",2,24,"versionB",26,"unmarked",4
"75",2,25,"versionB",39,"fairytale",5
"76",2,26,"versionB",44,"unmarked",3
"77",2,27,"versionB",24,"unmarked",3
"78",2,28,"versionB",42,"unmarked",1
"79",2,29,"versionB",2,"unmarked",1
"80",2,30,"versionB",13,"fairytale",5
"81",2,31,"versionB",7,"fairytale",5
"82",2,32,"versionB",3,"fairytale",3
"83",2,33,"versionB",48,"unmarked",2
"84",2,34,"versionB",45,"fairytale",5
"85",2,35,"versionB",18,"unmarked",1
"86",2,36,"versionB",29,"fairytale",5
"87",2,37,"versionB",27,"fairytale",5
"88",2,38,"versionB",1,"fairytale",5
"89",2,39,"versionB",49,"fairytale",4
"90",2,40,"versionB",17,"fairytale",4
"91",2,41,"versionB",35,"fairytale",5
"92",2,42,"versionB",4,"unmarked",2
"93",2,43,"versionB",30,"unmarked",2
"94",2,44,"versionB",47,"fairytale",5
"95",2,45,"versionB",11,"fairytale",4
"96",2,46,"versionB",33,"fairytale",5
"97",2,47,"versionB",31,"fairytale",4
"98",2,48,"versionB",23,"fairytale",5
"99",2,49,"versionB",12,"unmarked",2
"100",2,50,"versionB",43,"fairytale",4
