Story;def not;prob no;undecided ;prob yes;def yes
Eine prominente Schauspielerin aus den Vereinigten Staaten verspürte den starken Wunsch, ihre Jugendlichkeit und Schönheit weiter zu erhalten. Dies wurde ihr zunehmend wichtiger, je älter sie wurde. Aus diesem Grund begab sie sich schließlich auf Kur, denn sie hatte von einer bekannten Schönheitsklinik im Ausland gehört, deren spezielle Wellness-Bäder mit einem besonderen Heilwasser versetzt waren, welches einen Anti-Aging Effekt versprach. ;3;;1;;
Einst lebte eine weitbekannte Königin in einem fernen Lande, die wünschte sich, ihre Jugend und ihre Schönheit ewig zu erhalten. Dieser Wunsch wuchs von Tag zu Tag, je älter sie wurde. Drum verließ sie eines Tages ihr Schloss, denn sie hatte von einem Tempel fern ihres Königreiches gehört, dessen Bäder mit einem besonderen Heilwasser gefüllt waren, das ewige Jugend versprach. ;;;;;4
Ein junger Chef fuhr jeden Morgen mit dem Aufzug auf die Dachterrasse seines Bürogebäudes und verbrachte dort einige Minuten. Von dort aus konnte er gut sein ganzes Firmengrundstück betrachten. Als er wieder einmal dort oben war und von seinem Liegestuhl aus die weite Aussicht betrachtete, brachte ihm ein Paketbote eine Sendung, die nur er persönlich in Empfang nehmen konnte.;2;1;1;;
In einem Königreich lebte ein junger König, der ritt jeden Morgen auf einen hohen Hügel hinauf. Von dort aus konnte er bis an die Grenzen seines Reiches blicken. Als er wieder einmal hoch zu Ross über sein Land hinsah, erblickten seine Augen plötzlich einen Boten, der mit einem Brief winkte und durch die Felder auf ihn zu hastete.;;;;2;2
Im Walde lebte einmal ein alter Jäger. Sein Hüttchen stand am Ende eines moosbewachsenen Weges, eingesäumt von dichten Tannen. Lange wohnte er dort schon allein. An einem Winterabend kehrte der Jäger gerade von einer Wanderung heim. Als er an seine Hütte gelangte, legte sich bereits die Nacht über das Land. Ehe er eintrat, klopfte er sich den Schnee vom Mantel.;;;;2;2
Eine Babysitterin hatte die Aufgabe, jeden Abend am Bett eines Kleinkinds zu wachen, bis es eingeschlafen war. Eines Abends schrie der kleine Bub sehr laut und ließ sich durch die Babysitterin überhaupt nicht beruhigen. Als er vom vielen Schreien schon ganz außer Atem war, wickelte sie den kleinen Jungen in eine warme Decke und rief seine Mutter an.;2;2;;;
Am Hofe des Königs lebte eine Amme, die hatte die Aufgabe, jede Nacht an der Wiege des jungen Prinzen zu wachen. Eines Abends schrie der Knabe laut und wollte sich gar nicht beruhigen. Als der junge Prinz vom vielen Schreien schon ganz erschöpft war, wickelte die Amme den Jungen in drei weiße Leinentücher und übergab ihn der Königin.;;;1;2;1
In einem Dorf im Siebengebirge lebte eine Apothekerin, die in ihrem Geschäft auch ein kleines Labor hatte, wo sie Arzneien auf naturheilpflanzlicher Basis herstellte. Eines Abends kam kurz vor Geschäftsschluss der Vertreter eines Pharmakonzerns in die Apotheke. Er bot der Apothekerin tausend Euro Provision und eine gute Umsatzbeteiligung, wenn sie sich bereiterklärte, an der Entwicklung einer neuen Arznei mitzuwirken.;3;1;;;
In einem tiefen Tale, zwischen sieben hohen Bergen, lebte einmal ein altes Mütterchen, das braute in seiner Stube die wunderlichsten Säfte. Eines späten Abends klopfte ein Händler drei Mal laut und vernehmlich an seiner Tür. Er wollte dem Mütterchen tausend goldene Taler und eine gute Kuh geben, wenn es ihm eine Arznei ganz nach seinen Wünschen brauen würde.;;;;;4
Die Tochter eines Firmenchefs feierte ihren zehnten Geburtstag. Als Geschenk kaufte ihr Vater ihr auf einer seiner ausgedehnten Auslandsreisen einen niedlichen Welpen und brachte ihn mit nach Hause. Als der Chef seiner Tochter den Hund aber vorführen wollte, sah sie ihn sich kurz an und bemerkte dann kritisch: „Nein, die Farbe des Fells gefällt mir nicht.“;2;2;;;
An einem schönen Tage im Frühling feierte eine Prinzessin ihren Geburtstag. Der König wollte seiner Tochter zu diesem Fest einen besonders edlen Jagdhund schenken, den er von einer langen Reise für sie mitgebracht hatte. Doch als der König den Hund von einem Diener vorführen ließ, sagte die Prinzessin: „Pfui, die Farbe des Fells gefällt mir nicht.“ ;;;;2;2
Eine junge Büroangestellte war in der ganzen Firma für ihr ehrgeiziges Wesen und ihren ausdauernden Fleiß bekannt. Selbst wenn sie mit ihrer eigenen Arbeit bereits fertig war, half sie ihren Kollegen noch aus. So arbeitete sie jeden Tag, ohne sich zu beschweren. Eines Morgens spürte sie eine beginnende Erkältung und beschloss, einen Tag lang im Bett zu bleiben.;1;2;1;;
Auf einem Gut lebte einmal eine junge Dienstmagd, die war in der ganzen Gegend bekannt für ihre außergewöhnliche Tüchtigkeit. Selbst wenn sie mit ihrer Arbeit fertig war, packte sie zu, wo immer man sie brauchte. So mühte sie sich, ohne zu klagen. Eines Morgens jedoch fühlte sich die Dienstmagd etwas schwach und blieb in ihrem Bettchen liegen.;;;;2;2
