context_no;fairytale;unmarked;intuitive;MCI;SEV
1;In einem Königreich lebte ein junger König, der ritt jeden Morgen auf einen hohen Hügel hinauf. Von dort aus konnte er bis an die Grenzen seines Reiches blicken. Als er wieder einmal hoch zu Ross über sein Land hinsah, erblickten seine Augen plötzlich einen Boten, der mit einem Brief winkte und durch die Felder auf ihn zu hastete.;Ein junger Chef fuhr jeden Morgen mit dem Aufzug auf die Dachterrasse seines Bürogebäudes und verbrachte dort einige Minuten. Von dort aus konnte er gut sein ganzes Firmengrundstück betrachten. Als er wieder einmal dort oben war und von seinem Liegestuhl aus die weite Aussicht betrachtete, brachte ihm ein Paketbote eine Sendung, die nur er persönlich in Empfang nehmen konnte.;Der rennende Bote eilte herbei.;Der rennende Bote schlenderte herbei.;Der rennende Bote klaffte weit auf.
2;Einst lebte eine weitbekannte Königin in einem fernen Lande, die wünschte sich, ihre Jugend und ihre Schönheit ewig zu erhalten. Dieser Wunsch wuchs von Tag zu Tag, je älter sie wurde. Drum verließ sie eines Tages ihr Schloss, denn sie hatte von einem Tempel fern ihres Königreiches gehört, dessen Bäder mit einem besonderen Heilwasser gefüllt waren, das ewige Jugend versprach. ;Eine prominente Schauspielerin aus den Vereinigten Staaten verspürte den starken Wunsch, ihre Jugendlichkeit und Schönheit weiter zu erhalten. Dies wurde ihr zunehmend wichtiger, je älter sie wurde. Aus diesem Grund begab sie sich schließlich auf Kur, denn sie hatte von einer bekannten Schönheitsklinik im Ausland gehört, deren spezielle Wellness-Bäder mit einem besonderen Heilwasser versetzt waren, welches einen Anti-Aging Effekt versprach. ;Das sprudelnde Heilwasser floss über die Frau.;Das sprudelnde Heilwasser vertrocknete in der Wanne.;Das sprudelnde Heilwasser schleifte am Wasserhahn.
3;Im Walde lebte einmal ein alter Jäger. Sein Hüttchen stand am Ende eines moosbewachsenen Weges, eingesäumt von dichten Tannen. Lange wohnte er dort schon allein. An einem Winterabend kehrte der Jäger gerade von einer Wanderung heim. Als er an seine Hütte gelangte, legte sich bereits die Nacht über das Land. Ehe er eintrat, klopfte er sich den Schnee vom Mantel.;Ein alleinstehender Förster lebte auf einem Waldgrundstück, wo er ein ruhiges, zurückgezogenes Leben führte. Das Forsthaus stand am Ende eines unbeleuchteten Weges, umgeben von engstehenden Tannen. An einem Abend im Winter kam der Förster gerade von seinem Kontrollgang zurück. Als er daheim ankam, war es schon dunkel. Bevor er die Haustür aufsperrte, klopfte er den Schnee von Mantel und Schuhen.;Der festgefrorene Schnee knirschte unter seinen Schuhen.;Der festgefrorene Schnee verflüssigte sich im Wald.;Der festgefrorene Schnee tänzelte im Wald.
4;In einem tiefen Tale, zwischen sieben hohen Bergen, lebte einmal ein altes Mütterchen, das braute in seiner Stube die wunderlichsten Säfte. Eines späten Abends klopfte ein Händler drei Mal laut und vernehmlich an seiner Tür. Er wollte dem Mütterchen tausend goldene Taler und eine gute Kuh geben, wenn es ihm eine Arznei ganz nach seinen Wünschen brauen würde.;In einem Dorf im Siebengebirge lebte eine Apothekerin, die in ihrem Geschäft auch ein kleines Labor hatte, wo sie Arzneien auf naturheilpflanzlicher Basis herstellte. Eines Abends kam kurz vor Geschäftsschluss der Vertreter eines Pharmakonzerns in die Apotheke. Er bot der Apothekerin tausend Euro Provision und eine gute Umsatzbeteiligung, wenn sie sich bereiterklärte, an der Entwicklung einer neuen Arznei mitzuwirken.;Die köchelnde Arznei dampfte stark. ;Die köchelnde Arznei erstarrte plötzlich.;Die köchelnde Arznei schlenderte umher.
5;An einem schönen Tage im Frühling feierte eine Prinzessin ihren Geburtstag. Der König wollte seiner Tochter zu diesem Fest einen besonders edlen Jagdhund schenken, den er von einer langen Reise für sie mitgebracht hatte. Doch als der König den Hund von einem Diener vorführen ließ, sagte die Prinzessin: „Pfui, die Farbe des Fells gefällt mir nicht.“ ;Die Tochter eines Firmenchefs feierte ihren zehnten Geburtstag. Als Geschenk kaufte ihr Vater ihr auf einer seiner ausgedehnten Auslandsreisen einen niedlichen Welpen und brachte ihn mit nach Hause. Als der Chef seiner Tochter den Hund aber vorführen wollte, sah sie ihn sich kurz an und bemerkte dann kritisch: „Nein, die Farbe des Fells gefällt mir nicht.“;Der aufgeregte Hund lief im Zimmer herum.;Der aufgeregte Hund döste auf dem Boden.;Der aufgeregte Hund kühlte die Umgebung.
6;Am Hofe des Königs lebte eine Amme, die hatte die Aufgabe, jede Nacht an der Wiege des jungen Prinzen zu wachen. Eines Abends schrie der Knabe laut und wollte sich gar nicht beruhigen. Als der junge Prinz vom vielen Schreien schon ganz erschöpft war, wickelte die Amme den Jungen in drei weiße Leinentücher und übergab ihn der Königin.;Eine Babysitterin hatte die Aufgabe, jeden Abend am Bett eines Kleinkinds zu wachen, bis es eingeschlafen war. Eines Abends schrie der kleine Bub sehr laut und ließ sich durch die Babysitterin überhaupt nicht beruhigen. Als er vom vielen Schreien schon ganz außer Atem war, wickelte sie den kleinen Jungen in eine warme Decke und rief seine Mutter an.;Der schreiende Junge zappelte heftig.;Der schreiende Junge pfiff vor sich hin.;Der schreiende Junge knarzte geräuschvoll.
7;Auf einem Gut lebte einmal eine junge Dienstmagd, die war in der ganzen Gegend bekannt für ihre außergewöhnliche Tüchtigkeit. Selbst wenn sie mit ihrer Arbeit fertig war, packte sie zu, wo immer man sie brauchte. So mühte sie sich, ohne zu klagen. Eines Morgens jedoch fühlte sich die Dienstmagd etwas schwach und blieb in ihrem Bettchen liegen.;Eine junge Büroangestellte war in der ganzen Firma für ihr ehrgeiziges Wesen und ihren ausdauernden Fleiß bekannt. Selbst wenn sie mit ihrer eigenen Arbeit bereits fertig war, half sie ihren Kollegen noch aus. So arbeitete sie jeden Tag, ohne sich zu beschweren. Eines Morgens spürte sie eine beginnende Erkältung und beschloss, einen Tag lang im Bett zu bleiben.;Das eiserne Bett knarzte leise.;Das eiserne Bett splitterte plötzlich.;Das eiserne Bett lief herum.
8;Ein Edelmann wollte auf seine alten Tage noch einmal heiraten. Er wünschte sich ein junges Weib, mit Haaren, fein und hell wie gesponnenes Gold, und Augen, blau und tief wie das Meer. Dies ließ er seinen Boten durchs Land reisen, um eine Gemahlin für ihn zu finden. Als der Bote bei der ersten Frau klopfte, öffnete sie ihm die Tür.;Ein wohlhabender alter Mann hatte es sich in den Kopf gesetzt, unbedingt noch einmal zu heiraten. Er wünschte sich eine junge Frau mit hellblonden, glatten Haaren und blauen Augen. Er beauftragte seinen Privatsekretär mit der Suche nach einer geeigneten Partnerin. Der Privatsekretär gab eine Kontaktanzeige auf und fuhr bald darauf zur ersten Interessentin, die auf sein Klingeln die Tür öffnete.;Die stehende Frau winkte dem Besucher.;Die stehende Frau schwamm dem Besucher entgegen.;Die stehende Frau dampfte vor dem Besucher.
9;Ein Schuster und seine Frau wünschten sich lange vergeblich ein Kind, denn es ward ihnen noch keines geschenkt. Eines Tages hörten sie von einem alten Kräuterweib, das in solchen Dingen Rat wusste. Sie besuchten das Weiblein und es gab der Frau des Schusters ein trockenes Kraut zu essen. Schon im nächsten Sommer gebar sie einen kräftigen Sohn.;Ein Ehepaar wünschte sich lange vergeblich ein Kind, denn sie hatten schon immer gehofft, eine Familie zu gründen. Eines Tages hörten sie von einem Arzt, der auf künstliche Befruchtung spezialisiert war. Sie vereinbarten einen Termin für eine solche Behandlung, die bereits beim ersten Versuch erfolgreich verlief. Neun Monate später brachte die Frau einen gesunden Sohn zur Welt.;Der neugeborene Sohn schlief tief und fest.;Der neugeborene Sohn redete mit seinem Vater.;Der neugeborene Sohn ergrünte in der Wiege.
10;Auf seiner langen Reise durch ein fernes Land verliebte sich der stattliche Prinz in die wunderschöne Tochter eines fremden Grafen. Bald reiste der Prinz zurück in sein Königreich. Hier schrieb er dem Grafen jeden Tag einen neuen Brief, mit dem Wunsch, sich mit seiner Tochter vermählen zu dürfen. Da ging der Vater zu seiner Tochter, um ihr davon zu erzählen.;Ein gut aussehender Manager verliebte sich bei einer Geschäftsreise nach Ägypten in die attraktive Tochter seines Businesspartners. Wenig später reiste der Manager zurück in sein Heimatland. Von dort schrieb er seinem Businesspartner jeden Tag eine E-Mail, mit der Bitte, um die Hand seiner Tochter anhalten zu dürfen. Der Vater ging zu seiner Tochter, um ihr von den Emails zu berichten.;Der gehende Vater pfiff vor sich hin.;Der gehende Vater schlief unruhig.;Der gehende Vater verglühte langsam.
